Name,Year,Genre,Critic_Score,Global_Sales,Platform,cat_publi,cat_studio
Age of Conan: Hyborian Adventures,2008,Role-Playing,7.9,0.0,PC,3,2
Age of Conan: Rise of the Godslayer,2010,Role-Playing,7.9,0.03,PC,0,2
Age of Empires II: The Age of Kings,1999,Strategy,9.3,0.09,PC,3,3
Age of Empires III,2005,Strategy,8.3,0.37,PC,3,3
Age of Empires Online,2011,Strategy,7.0,0.06,PC,3,1
Age of Empires: Mythologies,2008,Strategy,8.2,0.21,DS,3,1
Age of Mythology,2002,Strategy,8.8,0.08,PC,3,3
Age of Mythology: The Titans,2003,Strategy,8.2,0.06,PC,3,3
Aggressive Inline,2002,Sports,7.3,0.48,Multi_Plateforme,3,2
Agony,2018,Action-Adventure,5.0,0.03,PS4,0,0
Aidyn Chronicles: The First Mage,2001,Role-Playing,6.0,0.1,N64,3,0
Aion: Tower of Eternity,2009,Role-Playing,7.4,0.0,PC,0,0
Air Combat,1995,Simulation,7.0,1.83,PS,3,3
Air Conflicts: Aces of World War II,2009,Simulation,3.3,0.05,PSP,1,0
Air Conflicts: Secret Wars,2011,Simulation,6.0,0.08,X360,2,0
Air Traffic Chaos,2008,Simulation,6.8,0.05,DS,3,0
AirForce Delta Storm,2002,Shooter,7.5,0.02,GBA,3,3
Akuji the Heartless,1998,Platform,6.7,0.12,PS,3,3
Alan Wake,2010,Action,8.3,1.33,X360,3,3
Alex Rider: Stormbreaker,2006,Action,4.0,0.07,DS,3,2
Alexi Lalas International Soccer,1999,Sports,4.4,0.07,PS,3,0
Alice in Wonderland,2010,Adventure,6.3,0.99,DS,3,2
Alice: Madness Returns,2011,Adventure,6.7,1.21,Multi_Plateforme,3,2
Alien Hominid,2004,Shooter,8.3,0.09,GC,1,0
Alien Resurrection,2000,Shooter,5.2,0.16,PS,3,3
Alien Syndrome,2007,Role-Playing,4.9,0.14,PSP,3,1
Alien Trilogy,1997,Shooter,8.0,0.47,PS,3,2
