Name,Year,Genre,Critic_Score,Global_Sales,Platform,cat_publi,cat_studio
Don King Presents: Prizefighter,2008,Sports,4.0,0.25,X360,3,1
Donkey Kong 64,1999,Platform,9.3,5.27,N64,3,3
Donkey Kong Barrel Blast,2007,Racing,4.8,0.62,Wii,3,2
Donkey Kong Country,2003,Platform,7.5,2.04,GBA,3,3
Donkey Kong Country 2,2004,Platform,7.6,1.23,GBA,3,3
Donkey Kong Country 3,2005,Platform,7.5,0.77,GBA,3,3
Donkey Kong Country Returns,2010,Platform,8.6,6.5,Wii,3,3
Donkey Kong Country Returns 3D,2013,Platform,8.6,2.13,3DS,3,3
Donkey Kong Country: Tropical Freeze,2014,Platform,8.8,3.4,NS,3,3
Donkey Kong Jungle Beat,2005,Platform,7.9,1.34,GC,3,3
Donkey Kong Jungle Climber,2007,Platform,7.8,0.55,DS,3,2
Donkey Konga,2004,Misc,7.3,1.15,GC,3,3
Donkey Konga 2,2005,Misc,6.5,0.39,GC,3,3
Doom,1993,Shooter,8.0,0.18000000000000002,GBA,3,1
Doom (2016),2017,Shooter,8.2,0.43,NS,3,3
Doom 3,2004,Shooter,7.0,0.12,PC,3,3
Doom 3: Resurrection of Evil,2005,Shooter,8.2,0.71,XB,3,2
Doom 64,1997,Shooter,7.4,0.47,N64,3,2
Doom II,1994,Shooter,8.1,3.65,GBA,3,3
Doshin the Giant,2002,Simulation,6.8,0.14,GC,3,1
Double Dragon Advance,2003,Action,7.9,0.05,GBA,3,0
Dr. Mario / Puzzle League,2005,Puzzle,7.5,0.33,GBA,3,3
Dr. Mario 64,2001,Puzzle,6.0,0.42,N64,3,1
Dr. Muto,2002,Platform,7.5,0.03,GC,3,3
Dr. Sudoku,2006,Puzzle,6.7,0.01,GBA,0,0
Dragon Age II,2011,Role-Playing,7.7,2.58,Multi_Plateforme,3,3
Dragon Age Origins: Awakening,2010,Role-Playing,8.3,0.87,Multi_Plateforme,3,3
Dragon Age: Origins,2009,Role-Playing,8.5,4.73,Multi_Plateforme,3,3
Dragon Ball FighterZ,2018,Fighting,9.0,0.44,NS,2,3
Dragon Ball GT: Transformation,2005,Action,7.7,0.28,GBA,3,3
Dragon Ball Z: Attack of the Saiyans,2009,Role-Playing,7.2,0.36,DS,3,3
Dragon Ball Z: Budokai,2003,Fighting,6.8,0.69,GC,3,2
Dragon Ball Z: Budokai Tenkaichi 3,2007,Fighting,7.5,1.03,Wii,3,2
Dragon Ball Z: Burst Limit,2008,Fighting,7.3,1.3399999999999999,PS3,3,3
Dragon Ball Z: Buu's Fury,2004,Action,5.9,0.61,GBA,3,3
Dragon Ball Z: Collectible Card Game,2002,Misc,6.0,0.46,GBA,2,2
Dragon Ball Z: Extreme Butoden,2015,Fighting,5.0,0.35,3DS,2,3
Dragon Ball Z: Sagas,2005,Fighting,5.7,0.21,GC,3,3
Dragon Ball Z: Shin Budokai,2006,Fighting,7.4,0.54,PSP,3,3
Dragon Ball Z: Shin Budokai - Another Road,2007,Fighting,7.2,0.43,PSP,3,3
Dragon Ball Z: Supersonic Warriors,2004,Fighting,7.1,0.51,GBA,3,2
Dragon Ball Z: Taiketsu,2003,Fighting,3.8,1.08,GBA,3,3
Dragon Ball Z: Tenkaichi Tag Team,2010,Fighting,6.0,0.27,PSP,3,3
Dragon Ball Z: The Legacy of Goku,2002,Role-Playing,6.5,1.69,GBA,2,3
Dragon Ball Z: The Legacy of Goku II,2003,Role-Playing,7.6,1.09,GBA,3,3
Dragon Ball Z: Ultimate Tenkaichi,2011,Fighting,5.0,1.1600000000000001,PS3,3,3
Dragon Ball: Advanced Adventure,2006,Action,7.7,0.04,GBA,3,3
Dragon Ball: Evolution,2009,Fighting,3.4,0.1,PSP,3,3
Dragon Ball: Fusions,2016,Role-Playing,6.3,0.54,3DS,2,2
Dragon Ball: Origins 2,2010,Action,6.9,0.16,DS,3,2
Dragon Ball: Raging Blast,2009,Fighting,5.6,1.28,PS3,3,3
Dragon Ball: Raging Blast 2,2010,Fighting,6.0,1.47,PS3,3,3
Dragon Ball: Revenge of King Piccolo,2009,Action,6.1,0.2,Wii,3,3
Dragon Ball: Xenoverse 2,2016,Action,7.1,2.05,NS,2,3
Dragon Quest Builders: Revive Alefgard,2018,Role-Playing,8.0,0.22,NS,3,3
Dragon Quest Heroes: Rocket Slime,2006,Adventure,8.3,0.44,DS,3,3
Dragon Quest IV: Chapters of the Chosen,2008,Role-Playing,8.1,1.62,DS,3,3
Dragon Quest IX: Sentinels of the Starry Skies,2010,Role-Playing,8.6,5.79,DS,3,3
Dragon Quest Monsters: Joker,2007,Role-Playing,7.6,1.77,DS,3,3
Dragon Quest Monsters: Joker 2,2011,Role-Playing,8.1,1.42,DS,3,3
Dragon Quest V: Hand of the Heavenly Bride,2009,Role-Playing,8.6,1.57,DS,3,3
Dragon Quest VI: Realms of Revelation,2011,Role-Playing,7.6,1.73,DS,3,3
Dragon Quest VII,2001,Role-Playing,8.0,4.47,PS,3,3
Dragon Quest VIII: Journey of the Cursed King,2005,Role-Playing,8.6,6.359999999999999,3DS,3,3
Dragon Quest XI: Echoes of an Elusive Age,2018,Role-Playing,9.5,2.04,PS4,3,3
Dragon Valor,2000,Role-Playing,6.1,0.07,PS,3,3
Dragoneer's Aria,2007,Role-Playing,5.2,0.07,PSP,3,1
Drawn to Life: The Next Chapter,2009,Adventure,5.8,1.4,DS,3,3
Dream Trigger 3D,2011,Shooter,5.7,0.07,3DS,2,0
Dreamcast Collection,2011,Misc,5.3,0.24,X360,3,3
Dreamfall: The Longest Journey,2006,Adventure,7.4,0.0,PC,2,2
Drill Dozer,2006,Platform,7.9,0.05,GBA,3,3
Driveclub,2014,Racing,7.2,2.37,PS4,3,3
Driven,2001,Racing,6.8,0.03,GBA,2,1
Driver,1999,Action,8.5,6.27,PC,3,3
Driver '76,2007,Racing,5.5,0.24,PSP,3,3
Driver 2,2000,Action,7.0,4.73,PS,3,3
Driver 2 Advance,2002,Action,6.8,0.34,GBA,3,1
Driver: Parallel Lines,2007,Racing,5.9,0.03,Wii,3,3
Driver: Renegade,2011,Racing,3.5,0.09,3DS,3,3
Driver: San Francisco,2011,Racing,7.0,2.01,Multi_Plateforme,3,2
Drome Racers,2003,Racing,7.5,0.03,GBA,3,0
Dual Blades,2002,Fighting,6.0,0.0,GBA,1,0
Dual Hearts,2002,Role-Playing,7.5,0.05,PS2,3,3
DuckTales: Remastered,2013,Platform,8.6,0.05,PS3,3,0
Duel Masters: Kaijudo Showdown,2004,Misc,5.8,0.22,GBA,3,2
Duel Masters: Sempai Legends,2004,Misc,7.1,0.29,GBA,3,2
Duke Nukem Advance,2002,Shooter,8.5,0.01,GBA,3,3
Duke Nukem Forever,2011,Shooter,4.3,1.99,Multi_Plateforme,3,3
Dungeon Defenders,2011,Role-Playing,8.3,0.02,PC,0,0
Dungeon Explorer: Warriors of Ancient Arts,2008,Role-Playing,6.1,0.01,PSP,1,3
Dungeon Siege III,2011,Role-Playing,7.3,0.93,Multi_Plateforme,3,3
Dungeons,2011,Strategy,6.5,0.09,PC,2,0
Dungeons & Dragons Tactics,2007,Strategy,5.2,0.1,PSP,3,2
Dungeons & Dragons: Daggerdale,2011,Role-Playing,6.0,0.0,PC,3,0
Dungeons & Dragons: Eye of the Beholder,2002,Role-Playing,4.8,0.26,GBA,3,1
Dynasty Warriors,2005,Action,6.6,0.51,PSP,3,3
Dynasty Warriors 5 Empires,2006,Action,6.3,0.47000000000000003,PS2,2,3
Dynasty Warriors 6,2008,Action,6.2,0.3,X360,2,3
Dynasty Warriors 6 Empires,2009,Action,6.3,0.5800000000000001,PS3,2,3
Dynasty Warriors 7,2011,Action,5.8,1.15,PS3,3,3
Dynasty Warriors Advance,2005,Action,5.2,0.11,GBA,3,1
Dynasty Warriors Gundam,2007,Action,6.0,0.6599999999999999,PS3,3,3
Dynasty Warriors: Gundam 2,2009,Action,4.9,1.02,Multi_Plateforme,3,3
Dynasty Warriors: Gundam 3,2011,Action,6.5,0.72,PS3,3,3
Dynasty Warriors: Strikeforce,2010,Action,6.4,0.97,Multi_Plateforme,3,3
E.T. The Extra-Terrestrial,2001,Action,3.5,0.01,GBA,1,0
EA Replay,2006,Action,5.0,0.12,PSP,3,3
EA Sports Active,2009,Sports,8.3,3.93,Wii,3,3
EA Sports Active 2,2010,Sports,8.0,2.6,Multi_Plateforme,3,3
EA Sports Active: More Workouts,2009,Sports,7.9,1.16,Wii,3,3
EA Sports Grand Slam Tennis,2009,Sports,7.9,0.92,Wii,3,3
EA Sports MMA,2010,Fighting,7.6,0.72,PS3,3,3
ESPN Final Round Golf 2002,2001,Sports,6.0,0.17,GBA,3,1
ESPN Great Outdoor Games Bass 2002,2001,Sports,5.5,0.05,GBA,3,3
ESPN X Games Skateboarding,2001,Sports,5.7,0.18,GBA,3,1
ESPN: Sports Connection,2012,Sports,3.0,0.36,WiiU,3,1
Earth Defense Force 2017,2007,Shooter,7.4,0.08,X360,2,0
Earth Defense Force: Insect Armageddon,2011,Shooter,6.6,0.39,PS3,2,2
Earthworm Jim,2001,Platform,7.2,0.29,GBA,3,1
Earthworm Jim 2,2002,Platform,4.7,0.03,GBA,3,0
East India Company,2009,Strategy,7.4,0.04,PC,1,0
Eat Lead: The Return of Matt Hazard,2009,Shooter,5.3,0.25,PS3,2,2
Ecco the Dolphin: Defender of the Future,2002,Adventure,7.8,0.14,PS2,3,3
Echo Night,1999,Adventure,6.3,0.12,PS,2,3
"Ed, Edd n Eddy: Jawbreakers!",2002,Adventure,5.0,0.32,GBA,2,1
"Ed, Edd n Eddy: The Mis-Edventures",2005,Platform,4.6,0.6599999999999999,GC,3,2
Egg Mania,2002,Puzzle,7.3,0.0,GBA,1,1
Ehrgeiz,1999,Fighting,6.7,0.3,PS,3,2
El Shaddai: Ascension of the Metatron,2011,Action,8.0,0.44000000000000006,PS3,2,1
Elebits,2006,Action,7.3,0.32,Wii,3,3
Elebits: The Adventures of Kai and Zero,2009,Action,7.4,0.08,DS,3,3
Elf Bowling 1 & 2,2005,Sports,1.4,0.03,GBA,2,1
Elite Beat Agents,2006,Misc,8.4,0.37,DS,3,2
Empire Earth,2001,Strategy,8.0,0.05,PC,3,0
Empire Earth II,2005,Strategy,8.0,0.03,PC,3,1
Empire Earth III,2007,Strategy,4.8,0.04,PC,3,1
Empire: Total War,2009,Strategy,8.9,1.07,PC,3,3
Enchanted Arms,2006,Role-Playing,5.9,0.39,PS3,3,3
Endless Ocean,2008,Adventure,6.8,1.06,Wii,3,2
Endless Ocean: Blue World,2010,Simulation,7.6,0.87,Wii,3,2
Enemy Territory: Quake Wars,2008,Shooter,6.7,0.45,X360,3,2
Enslaved: Odyssey to the West,2010,Action,7.9,1.1,PS3,3,3
Enter the Matrix,2003,Action,6.5,0.45,GC,3,2
Ephemeral Fantasia,2001,Role-Playing,5.7,0.08,PS2,3,3
Epic Mickey: Power of Illusion,2012,Platform,6.6,0.5,3DS,3,2
Eragon,2006,Action,4.2,0.41000000000000003,Multi_Plateforme,3,3
Eternal Darkness: Sanity's Requiem,2002,Adventure,9.3,0.44,GC,3,3
Eternal Sonata,2007,Role-Playing,7.9,0.76,PS3,3,2
Etrian Mystery Dungeon,2015,Role-Playing,7.6,0.28,3DS,3,2
Etrian Odyssey,2007,Role-Playing,7.4,0.33,DS,3,2
Etrian Odyssey 2 Untold: Knight of Fafnir,2015,Role-Playing,8.0,0.14,3DS,3,3
Etrian Odyssey II: Heroes of Lagaard,2008,Role-Playing,8.4,0.26,DS,3,2
Etrian Odyssey III: The Drowned City,2010,Role-Playing,7.3,0.31,DS,3,2
Etrian Odyssey IV: Legends of the Titan,2013,Role-Playing,8.2,0.39,3DS,3,3
Etrian Odyssey V: Beyond the Myth,2017,Role-Playing,7.9,0.27,3DS,3,3
Etrian Odyssey: Millennium Girl,2013,Role-Playing,8.1,0.26,3DS,3,3
Euro Truck Simulator 2,2013,Simulation,8.5,0.14,PC,1,1
Ever Oasis,2017,Role-Playing,8.1,0.29,3DS,3,3
EverGrace,2000,Role-Playing,6.2,0.35,PS2,2,3
Everybody Dance,2011,Music,6.5,0.13,PS3,3,3
Everybody's Golf,2017,Sports,8.1,0.56,PS4,3,3
Evolution Skateboarding,2002,Sports,4.8,0.04,GC,3,2
Evolution Worlds,2002,Role-Playing,6.5,0.08,GC,3,2
Excite Truck,2006,Racing,7.0,0.53,Wii,3,1
ExciteBots: Trick Racing,2009,Racing,7.7,0.28,Wii,3,3
Excitebike 64,2000,Racing,8.9,1.0,N64,3,2
Exit,2006,Puzzle,7.9,0.08,PSP,3,3
Extreme Ghostbusters,2002,Platform,7.1,0.0,GBA,1,1
EyePet,2010,Simulation,4.9,1.29,PS3,3,3
EyeToy Play,2003,Misc,7.5,4.2,PS2,3,3
F-14 Tomcat,2001,Action,6.9,0.7,GBA,3,2
F-Zero GX,2003,Racing,8.4,0.65,GC,3,2
F-Zero X,1998,Racing,8.5,1.1,N64,3,3
F-Zero: GP Legend,2004,Racing,7.1,0.16,GBA,3,1
F-Zero: Maximum Velocity,2001,Racing,8.7,1.04,GBA,3,3
F.E.A.R.,2006,Shooter,8.6,0.34,X360,2,2
F.E.A.R. 2: Project Origin,2009,Shooter,8.2,1.08,Multi_Plateforme,3,3
F.E.A.R. 3,2011,Shooter,7.8,1.05,Multi_Plateforme,3,2
F.E.A.R. Files,2007,Shooter,6.9,0.09,X360,3,0
F1 2002,2003,Racing,6.5,0.02,GBA,2,1
F1 2009,2009,Racing,6.8,1.4100000000000001,PSP,3,3
F1 2010,2010,Racing,8.0,2.27,Multi_Plateforme,3,3
F1 2011,2011,Racing,5.5,2.27,Multi_Plateforme,3,3
F1 2012,2012,Racing,7.9,1.6400000000000001,Multi_Plateforme,3,3
F1 Grand Prix,2005,Racing,6.0,0.0,PSP,3,3
FIFA 06: Road to FIFA World Cup,2005,Sports,6.1,0.15,X360,3,3
FIFA 07 Soccer,2006,Sports,8.4,6.380000000000001,Multi_Plateforme,3,3
FIFA 13,2012,Sports,7.0,0.49,WiiU,3,3
FIFA 15,2014,Sports,6.9,16.28,Multi_Plateforme,3,3
FIFA 16,2015,Sports,8.5,15.82,Multi_Plateforme,3,3
FIFA 17,2016,Sports,8.8,14.649999999999999,PS4,3,3
FIFA 18,2017,Sports,8.0,16.12,Multi_Plateforme,3,3
FIFA 19,2018,Sports,5.9,0.75,NS,3,3
FIFA 2000,1999,Sports,8.8,1.87,PS,3,3
FIFA Soccer,2005,Sports,7.8,0.12,PSP,3,3
FIFA Soccer 06,2005,Sports,7.6,4.32,PS2,3,3
FIFA Soccer 08,2007,Sports,7.9,3.1,PS3,3,3
FIFA Soccer 09,2008,Sports,8.1,5.88,Multi_Plateforme,3,3
FIFA Soccer 10,2009,Sports,7.9,8.39,Multi_Plateforme,3,3
FIFA Soccer 11,2010,Sports,7.0,11.77,Multi_Plateforme,3,3
FIFA Soccer 12,2011,Sports,9.2,11.68,Multi_Plateforme,3,3
FIFA Soccer 2003,2002,Sports,6.9,0.05,GBA,3,0
FIFA Soccer 2004,2003,Sports,8.0,3.6100000000000003,Multi_Plateforme,3,3
FIFA Soccer 2005,2004,Sports,8.1,3.7800000000000002,GBA,3,3
FIFA Street 2,2006,Sports,4.9,0.14,PSP,2,3
FIFA World Cup Germany 2006,2006,Sports,7.8,1.5699999999999998,Multi_Plateforme,3,3
FIFA World Cup: Germany 2006,2006,Sports,4.3,0.03,GBA,3,3
Fable,2004,Role-Playing,8.6,2.66,XB,3,3
Fable II,2008,Role-Playing,9.0,4.28,X360,3,3
Fable III,2010,Role-Playing,7.0,5.43,PC,3,3
Fable: The Lost Chapters,2005,Role-Playing,8.3,0.07,PC,3,3
FaceBreaker K.O. Party,2008,Fighting,6.7,0.22,Wii,3,1
Fading Shadows,2008,Puzzle,7.0,0.04,PSP,2,0
Fairytale Fights,2009,Action,4.8,0.34,PS3,2,1
Fallen Legion: Rise to Glory,2018,Role-Playing,7.0,0.02,NS,3,3
Fallout 2,1998,Role-Playing,9.2,0.0,PC,2,2
Fallout 3,2008,Role-Playing,9.0,9.94,Multi_Plateforme,3,3
Fallout 4,2015,Role-Playing,8.4,14.91,Multi_Plateforme,3,3
Fallout 76,2018,Role-Playing,5.1,2.46,Multi_Plateforme,3,3
Fallout: New Vegas,2010,Role-Playing,8.2,8.42,Multi_Plateforme,3,3
Family Guy,2006,Adventure,5.5,0.19,PSP,3,3
Fantasy Life,2014,Role-Playing,6.9,1.09,3DS,3,2
Fantavision,2000,Puzzle,8.0,0.47,PS2,3,2
Far Cry,2004,Shooter,8.6,0.05,PC,3,3
Far Cry 2,2008,Shooter,8.4,3.45,Multi_Plateforme,3,3
Far Cry 4,2014,Shooter,8.5,6.39,Multi_Plateforme,3,3
Far Cry 5,2018,Action,6.3,5.8,Multi_Plateforme,3,3
Far Cry Instincts Predator,2006,Shooter,8.0,0.24,X360,3,3
Far Cry: Primal,2016,Action-Adventure,7.2,3.98,Multi_Plateforme,3,3
Fast Racing Neo,2015,Racing,8.1,0.01,WiiU,0,0
Fat Princess: Fistful of Cake,2010,Action,7.0,0.13,PSP,3,1
Fatal Frame,2002,Action,7.6,0.2,PS2,3,1
Fatal Frame II: Crimson Butterfly,2003,Action,7.8,0.16,PS2,3,1
Fatal Frame II: Crimson Butterfly Director's Cut,2004,Action,8.7,0.05,XB,3,1
Fatal Frame III: The Tormented,2005,Action,7.7,0.08,PS2,3,1
Fate/Extella: The Umbral Star,2017,Action,8.0,0.21,NS,2,2
Fate/Unlimited Codes Portable,2009,Fighting,7.6,0.05,PSP,3,2
Fear Factor: Unleashed,2004,Action,3.0,0.14,GBA,1,1
Feel the Magic XY/XX,2004,Puzzle,7.7,0.29,DS,3,3
Field Commander,2006,Strategy,7.7,0.16,PSP,2,2
Fight Night Champion,2011,Fighting,8.4,1.91,PS3,3,3
Fight Night Round 3,2006,Fighting,7.2,1.99,PSP,3,2
Fight Night Round 4,2009,Fighting,8.6,2.92,PS3,3,3
Fighters Uncaged,2010,Fighting,3.2,0.6,X360,3,2
Fighting Force 64,1999,Action,5.2,0.11,N64,2,3
Final Fantasy Anniversary Edition,2007,Role-Playing,7.4,0.59,PSP,3,3
Final Fantasy Anthology,1999,Role-Playing,8.6,0.8,PS,3,3
Final Fantasy Chronicles,2001,Role-Playing,9.2,0.52,PS,3,1
Final Fantasy Crystal Chronicles: Echoes of Time,2009,Role-Playing,6.9,0.72,DS,3,3
Final Fantasy Crystal Chronicles: Ring of Fates,2008,Role-Playing,7.7,0.66,DS,3,3
Final Fantasy Crystal Chronicles: The Crystal Bearers,2009,Adventure,6.7,0.39,Wii,3,3
Final Fantasy Explorers,2016,Role-Playing,7.3,0.59,3DS,3,3
Final Fantasy Fables: Chocobo Tales,2007,Adventure,7.4,0.24,DS,3,3
Final Fantasy Fables: Chocobo's Dungeon,2008,Role-Playing,7.4,0.21,Wii,3,3
Final Fantasy I & II: Dawn of Souls,2004,Role-Playing,7.1,1.19,GBA,3,3
Final Fantasy II Anniversary Edition,2007,Role-Playing,6.5,0.51,PSP,3,3
Final Fantasy III,2006,Role-Playing,7.4,2.08,DS,3,3
Final Fantasy IV,2008,Role-Playing,8.5,1.21,DS,3,3
Final Fantasy IV Advance,2005,Role-Playing,8.6,0.61,GBA,3,3
Final Fantasy IV: The Complete Collection,2011,Role-Playing,8.0,0.56,PSP,3,3
Final Fantasy IX,2000,Role-Playing,9.2,5.3,PS,3,3
Final Fantasy Tactics,1998,Role-Playing,8.8,2.45,PS,3,3
Final Fantasy Tactics A2: Grimoire of the Rift,2008,Role-Playing,8.1,0.75,DS,3,3
Final Fantasy Tactics Advance,2003,Role-Playing,8.9,0.89,GBA,3,3
Final Fantasy Tactics: The War of the Lions,2007,Role-Playing,8.9,1.16,PSP,3,3
Final Fantasy V Advance,2006,Role-Playing,8.2,0.26,GBA,3,3
Final Fantasy VI Advance,2007,Role-Playing,9.1,0.28,GBA,3,3
Final Fantasy VII,1997,Role-Playing,8.4,9.72,PC,3,3
Final Fantasy VIII,1999,Role-Playing,9.4,7.86,PS,3,3
Final Fantasy X,2001,Role-Playing,9.0,8.05,PS2,3,3
Final Fantasy X-2,2003,Role-Playing,8.3,5.29,PS2,3,3
Final Fantasy XI: Chains of Promathia,2004,Role-Playing,7.3,0.25,PS2,3,3
Final Fantasy XI: Online,2004,Role-Playing,6.7,0.19,PC,3,3
Final Fantasy XI: Wings of the Goddess,2007,Role-Playing,6.5,0.32,X360,3,3
Final Fantasy XII,2006,Role-Playing,9.4,5.95,PS2,3,3
Final Fantasy XII: Revenant Wings,2007,Role-Playing,8.2,1.37,DS,3,2
Final Fantasy XIII,2010,Role-Playing,8.0,7.539999999999999,PS3,3,3
Final Fantasy XV,2016,Role-Playing,8.1,5.07,PS4,3,3
Final Fantasy: Crystal Chronicles,2004,Role-Playing,7.7,1.49,GC,3,3
Final Fantasy: The 4 Heroes of Light,2010,Role-Playing,7.2,0.58,DS,3,3
Final Fight One,2001,Fighting,8.2,0.21,GBA,3,3
Finding Nemo,2003,Platform,7.0,2.82,GBA,3,3
Finding Nemo: The Continuing Adventures,2004,Action,8.0,0.3,GBA,3,2
Fire Emblem Echoes: Shadows of Valentia,2017,Role-Playing,8.3,0.75,3DS,3,3
Fire Emblem Warriors,2017,Action,7.3,0.51,NS,3,3
Fire Emblem: Awakening,2013,Role-Playing,9.0,2.1,3DS,3,3
Fire Emblem: Path of Radiance,2005,Role-Playing,8.6,0.54,GC,3,3
Fire Emblem: Radiant Dawn,2007,Strategy,7.7,0.49,Wii,3,3
Fire Emblem: Shadow Dragon,2009,Strategy,8.2,0.61,DS,3,3
Fire Emblem: The Blazing Blade,2003,Strategy,8.8,0.97,GBA,3,3
Fire Emblem: The Sacred Stones,2005,Strategy,8.4,0.89,GBA,3,3
Fire ProWrestling,2001,Fighting,8.0,0.13,GBA,2,3
Fire ProWrestling G,1999,Fighting,8.0,0.19,PS,1,1
Firefighter F.D.18,2004,Action,5.9,0.07,PS2,3,3
Fist of the North Star: Ken's Rage,2010,Action,4.8,0.8200000000000001,PS3,3,2
Fist of the North Star: Ken's Rage 2,2013,Action,5.0,0.3,PS3,3,1
Fitness Boxing,2019,Sports,7.0,0.0,NS,3,1
Flash Focus: Vision Training in Minutes a Day,2007,Misc,6.1,3.83,DS,3,3
FlatOut: Head On,2008,Racing,7.3,0.29,PSP,3,1
FlingSmash,2010,Action,3.8,0.47,Wii,3,3
Flipping Death,2018,Adventure,7.5,0.01,NS,0,0
"Flower, Sun, and Rain",2009,Adventure,5.7,0.07,DS,2,3
Folklore,2007,Role-Playing,7.5,0.32,PS3,3,2
Football Manager 2006,2006,Sports,8.5,0.0,X360,3,2
Football Manager 2007,2006,Sports,8.4,0.02,X360,3,2
Football Manager 2010,2009,Sports,8.7,0.07,PC,3,2
Football Manager 2011,2010,Sports,8.9,1.26,PC,3,2
Football Manager 2012,2011,Sports,8.5,1.5,PC,3,3
Football Manager 2014,2013,Sports,8.4,0.66,PC,3,2
Football Manager Handheld 2010,2009,Sports,6.0,0.35,PSP,3,2
Formula 1 Championship Edition,1997,Racing,8.5,0.36,PS,3,3
Formula One 2001,2001,Racing,7.0,0.26,PS2,3,2
Forsaken 64,1998,Shooter,8.3,0.29,N64,3,3
Fortnite,2018,Shooter,8.5,0.69,NS,3,3
Fortress,2001,Action,6.6,0.32,GBA,3,1
Forza Horizon 3,2016,Racing,9.0,3.93,XOne,3,3
Forza Horizon 4,2018,Racing,9.2,1.84,XOne,3,3
Forza Motorsport,2005,Racing,9.2,1.05,XB,3,3
Forza Motorsport 2,2007,Racing,9.1,4.05,X360,3,3
Forza Motorsport 3,2009,Racing,9.2,5.5,X360,3,3
Forza Motorsport 4,2011,Racing,9.1,4.6,X360,3,3
Forza Motorsport 7,2017,Racing,8.9,1.52,XOne,3,3
Fossil Fighters,2009,Role-Playing,6.9,0.89,DS,3,2
Fracture,2008,Shooter,4.0,0.49,PS3,3,2
Fragile Dreams: Farewell Ruins of the Moon,2010,Role-Playing,6.7,0.37,Wii,2,2
Frantix,2005,Puzzle,5.4,0.08,PSP,2,0
Freedom Fighters,2003,Shooter,8.8,0.13,GC,3,3
Freedom Force,2002,Role-Playing,9.1,0.0,PC,2,2
Freekstyle,2003,Racing,7.2,0.01,GBA,0,1
Frogger 3D,2011,Action,7.0,0.21,3DS,3,1
Frogger Advance: The Great Quest,2002,Action,5.5,0.07,GBA,3,2
Frogger's Adventures 2: The Lost Wand,2002,Adventure,8.0,0.19,GBA,3,3
Frogger's Adventures: Temple of the Frog,2001,Adventure,6.7,2.39,GBA,3,3
Frogger's Journey: The Forgotten Relic,2003,Action,5.0,0.26,GBA,3,3
Frogger: Helmet Chaos,2005,Platform,7.0,0.11,PSP,3,1
Frogger: The Great Quest,2001,Platform,3.0,1.23,PS2,3,3
From Dust,2011,Adventure,8.2,0.0,PC,3,3
From Russia With Love,2005,Action,7.3,0.22,GC,3,3
From The Abyss,2008,Role-Playing,7.3,0.06,DS,2,0
Fuel,2009,Racing,6.6,0.57,Multi_Plateforme,3,3
Full Auto,2006,Racing,7.0,0.22,X360,3,1
Full Auto 2: Battlelines,2006,Racing,5.5,0.19,PS3,3,1
Full Spectrum Warrior,2004,Strategy,7.8,0.3,PC,3,3
Full Spectrum Warrior: Ten Hammers,2006,Strategy,5.5,0.07,PS2,3,3
Future Tactics: The Uprising,2004,Strategy,6.8,0.02,GC,2,0
G-Force,2009,Action,7.0,1.72,Multi_Plateforme,3,3
G.I. Joe: The Rise of Cobra,2009,Action,5.2,1.09,Multi_Plateforme,3,2
GRID,2008,Racing,8.7,2.06,Multi_Plateforme,3,3
GT Advance 2: Rally Racing,2002,Racing,7.6,0.11,GBA,3,3
GT Advance 3: Pro Concept Racing,2002,Racing,7.7,0.08,GBA,3,3
GT Advance Championship Racing,2001,Racing,7.5,0.33,GBA,3,3
GT Pro Series,2006,Racing,3.7,0.52,Wii,3,3
Gabrielle's Ghostly Groove 3D,2011,Adventure,7.5,0.11,3DS,3,1
Gadget Racers,2001,Racing,7.0,0.0,GBA,2,1
Gal Metal!,2018,Music,7.0,0.02,NS,2,0
Galactic Wrestling: Featuring Ultimate Muscle,2004,Fighting,7.3,0.22,PS2,2,2
Galidor: Defenders of the Outer Dimension,2002,Action,5.9,0.12,GBA,3,0
Game & Wario,2013,Party,6.2,0.25,WiiU,3,3
Game & Watch Gallery 4,2002,Misc,6.4,0.61,GBA,3,3
Game Party,2007,Misc,2.6,2.49,Wii,3,3
Games Explosion!,2006,Action,4.0,0.02,GBA,3,0
Gangs of London,2006,Adventure,5.0,0.96,PSP,3,3
Gardening Mama,2009,Puzzle,6.6,1.36,DS,3,3
Gauntlet / Rampart,2005,Misc,4.0,0.03,GBA,0,0
Gauntlet Legends,1999,Action,6.0,0.54,N64,3,2
Gauntlet: Dark Legacy,2002,Action,3.1,0.0,GBA,3,0
Gear.Club Unlimited,2017,Racing,6.1,0.15,NS,1,1
Gears of War,2006,Shooter,8.8,6.109999999999999,PC,3,3
Gears of War 2,2008,Shooter,9.4,6.75,X360,3,3
Gears of War 3,2011,Shooter,9.1,6.22,X360,3,3
Geist,2005,Adventure,6.6,0.15,GC,3,2
Gekido Advance: Kintaro's Revenge,2003,Action,7.7,0.03,GBA,2,0
Generation of Chaos,2006,Role-Playing,5.9,0.06,PSP,3,1
Genji: Days of the Blade,2006,Action,5.0,0.75,PS3,3,2
Geometry Wars: Galaxies,2007,Shooter,8.0,0.12,Wii,3,2
Ghost Rider,2007,Action,5.0,0.24,PSP,3,3
Ghost Squad,2007,Shooter,7.0,0.77,Wii,3,2
Ghost Trick: Phantom Detective,2011,Adventure,8.2,0.38,DS,3,3
